text,label
"Loadingnya lama banget parah",neg
"Videonya buffering terus capek nunggunya",neg
"Aplikasi sering crash saat buka materi",neg
"Materinya sudah kadaluarsa tidak relevan",neg
"Tolong update kontennya dong ini versi lama",neg
"Tutorialnya membingungkan dan tidak jelas",neg
"Sangat lambat aplikasinya perbaiki servernya",neg
"Materinya bagus sekali mudah dipahami",pos
"Instrukturnya menjelaskan dengan sangat baik",pos
"Suka banget sama course ini sangat membantu",pos
"AmbaLearn keren banget fiturnya lengkap",pos
"Belajar jadi lebih menyenangkan disini",pos
"Penjelasannya runut dan logis mantap",pos
"Videonya berkualitas tinggi gambarnya jernih",pos
"Biasa saja sih materinya standar",neu
"Lumayan buat pemula tapi kurang mendalam",neu
"Cukup oke lah not bad",neu
"Loadingnya agak lambat tapi materinya oke",neu
"Kontennya sedikit outdated tapi masih berguna",neu
"UI nya bagus tapi UX nya perlu diperbaiki",neu
"Lama banget loadingnya bikin emosi",neg
"Kodingannya error semua tolong diperbaiki",neg
"Sangat bermanfaat terima kasih",pos
"Recommended banget buat yang mau belajar",pos
